37,7 Canis Majoris b,65,586.45,3.92,2011,Gas Giant,13.44,1.758 AU,730,0.06,70 Vir,Radial Velocity,,,13h28m25.81s,+13d46m43.6s,5495,1.09,1.89,31.88036202
38,7 Canis Majoris c,65,275.79,3.92,2019,Gas Giant,13.888,2.153 AU,985.5,0.08,75 Cet,Radial Velocity,,,02h32m09.42s,-01d02m05.6s,4846,2.49,10.5,14.04073654
39,81 Ceti b,331,1680.1,5.65,2008,Gas Giant,12.768,2.5 AU,949,0.21,8 UMi,Radial Velocity,,,14h56m48.35s,+74d54m03.3s,4847,1.44,10.3,101.1999214
40,8 Ursae Minoris b,533,415.27,6.83,2015,Gas Giant,13.664,0.49 AU,93.4,0.06,81 Cet,Radial Velocity,,,02h37m41.80s,-03d23m46.2s,4785,2.4,11,21.84065418
41,91 Aquarii b,144,1014.4,4.25,2013,Gas Giant,13.104,0.7 AU,181.4,0.03,91 Aqr,Radial Velocity,,,23h15m53.50s,-09d05m15.9s,4665,1.4,11,58.0085838
42,AB Pictoris b,163,4279.5,9.128,2005,Gas Giant,12.32,260.0 AU,1613920.5,0,AB Pic,Imaging,,,06h19m12.91s,-58d03m15.5s,,,,276.8613972
43,Alpha Arietis b,66,570.6,2,2010,Gas Giant,13.44,1.2 AU,380.8,0.25,alf Ari,Radial Velocity,,,02h07m10.41s,+23d27m44.7s,4553,1.5,13.9,31.01873061
44,Alpha Tauri b,67,2050.99,0.85,2015,Gas Giant,12.656,1.46 AU,620.5,0.1,alf Tau,Radial Velocity,,,04h35m55.24s,+16d30m33.5s,4055,1.13,45.1,125.73651
45,AU Microscopii b,32,57.06,8.81,2020,Gas Giant,4.2,0.066 AU,8.5,0.1,AU Mic,Transit,,4.4,20h45m09.53s,-31d20m27.2s,3700,0.5,0.75,31.76318015
46,BD+03 2562 b,8540,2028.8,9.58,2017,Gas Giant,12.656,1.3 AU,481.9,0.2,BD+03 2562,Radial Velocity,,,11h50m15.55s,+02d45m36.5s,4095,1.14,32.35,124.3761459
47,BD-06 1339 b,66,8.5,9.7,2013,Neptune-like,2.8448,0.0428 AU,3.9,0,BD+14 4559,Radial Velocity,,,21h13m35.99s,+14d41m21.8s,4864,0.49,0.86,10.31350393
48,BD-06 1339 c,66,53.89,9.7,2013,Gas Giant,8.3664,0.435 AU,125.9,0.31,BD+15 2375,Radial Velocity,,,11h45m55.72s,+14d36m59.0s,4649,1.08,8.95,7.559998787
49,BD-08 2823 b,135,12.7132,9.88,2009,Neptune-like,3.6064,0.06 AU,5.6,0.15,BD+15 2940,Radial Velocity,,,16h00m22.94s,+15d32m48.9s,4796,1.1,14.7,9.598378719
50,BD-08 2823 c,135,104.61,9.88,2009,Gas Giant,12.432,0.68 AU,237.6,0.19,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259,10.83,71.02,6.646331371
51,BD-10 3166 b,276,187.03,10.08,2000,Gas Giant,14.112,0.04 AU,3.5,0.02,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259,10.83,71.02,9.221996
52,BD-11 4672 b,89,206.05,9.99,2014,Gas Giant,14,2.36 AU,1642.5,0.05,BD+20 274,Radial Velocity,,,01h43m40.88s,+21d00m19.1s,4296,0.8,17.3,10.32303355
53,BD-11 4672 c,89,15.37,9.99,2020,Neptune-like,4.032,0.3 AU,74.2,0.4,BD+20 594,Transit,89.55,,03h34m36.23s,+20d35m57.2s,5766,1.67,1.08,9.283753739
54,BD-13 2130 b,3095,3100.26,9.45,2007,Gas Giant,12.432,1.66 AU,730,0.21,BD+48 738,Radial Velocity,,,02h42m50.45s,+49d35m13.1s,4414,0.74,11,196.9730933
55,BD+14 4559 b,161,329.68,9.63,2009,Gas Giant,13.776,0.78 AU,268.9,0.29,BD+48 740,Radial Velocity,,,02h42m58.22s,+48d55m48.2s,4534,1.09,10.33,17.05835407
56,BD+15 2375 b,2525,336.337,10.31,2016,Gas Giant,13.776,0.576 AU,153.2,0,BD+49 828,Radial Velocity,,,03h02m33.73s,+49d43m48.0s,4943,1.52,7.6,17.4028016
57,BD+15 2940 b,1408,351.87,9.046,2013,Gas Giant,13.776,0.539 AU,137.5,0.26,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324,0.7,,18.20651251
58,BD-17 63 b,113,1616.7,9.566,2008,Gas Giant,12.88,1.34 AU,657,0.54,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324,0.7,,95.69483622
59,BD+20 2457 b,5450,17622.03,9.75,2009,Gas Giant,11.536,1.05 AU,379.6,0.15,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816,0.5,0.71,1300.278054
60,BD+20 2457 c,5450,3952.99,9.75,2009,Gas Giant,12.32,2.01 AU,620.5,0.18,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816,0.5,0.71,255.737898
61,BD+20 274 b,4514,1331.4,9.36,2012,Gas Giant,12.992,1.3 AU,584,0.21,BD-10 3166,Radial Velocity,,,10h58m28.80s,-10d46m13.4s,5393,1.47,0.91,77.45461865
62,BD+20 594 b,588,22.2481,11.038,2016,Neptune-like,2.576,0.241 AU,41.7,0,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550,0.65,0.64,32.92243901
63,BD+48 738 b,2910,288.47,9.14,2011,Gas Giant,13.888,1.0 AU,392.6,0.2,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550,0.65,0.64,14.68628765
